"","doid","Term","Synonym","Secondary"
"1350","DOID:0050311","obsolete primary Helicobacteraceae infectious disease","NA","NA"
"1353","DOID:0050312","obsolete primary Campylobacteraceae infectious disease","NA","NA"
"1356","DOID:0050313","obsolete primary Brucellaceae infectious disease","NA","NA"
"1359","DOID:0050314","obsolete primary Erysipelotrichaceae infectious disease","NA","NA"
"1362","DOID:0050315","obsolete commensal Clostridiaceae infectious disease","NA","NA"
"1365","DOID:0050316","obsolete commensal Staphylococcaceae infectious disease","NA","NA"
"1368","DOID:0050317","obsolete commensal Streptococcaceae infectious disease","NA","NA"
"1371","DOID:0050318","obsolete primary Burkholderiaceae infectious disease","NA","NA"
"1374","DOID:0050319","obsolete primary Legionellaceae infectious disease","NA","NA"
"1377","DOID:0050320","obsolete commensal Alcaligenaceae infectious disease","NA","NA"
"1380","DOID:0050321","obsolete opportunistic Pseudomonadaceae infectious disease","NA","NA"
"1383","DOID:0050322","obsolete primary Vibrionaceae infectious disease","NA","NA"
"1386","DOID:0050323","obsolete primary Coxiellaceae infectious disease","NA","NA"
"1389","DOID:0050324","obsolete physical disorder OBSOLETED TERM","NA","NA"
"1392","DOID:0050325","obsolete genetic disorder","NA","NA"
"1395","DOID:0050327","obsolete peripheral dysostosis","""Peripheral Dysostosis-Nasal Hypoplasia-Mental Retardation"" EXACT []","NA"
"1399","DOID:0050328","congenital hypothyroidism","NA","DOID:11632"
"1404","DOID:0050329","obsolete mental disorder","NA","NA"
"1407","DOID:0050331","LADD syndrome","""LEVY-HOLLISTER SYNDROME"" EXACT []","NA"
"1412","DOID:0050332","enlarged vestibular aqueduct","NA","NA"
"1415","DOID:0050333","obsolete congenital anosmia","NA","NA"
"1418","DOID:0050334","obsolete thiourea tasting","""PROPYLTHIOURACIL TASTING, INCLUDED"" EXACT []","NA"
"1423","DOID:0050335","bradyopsia","""prolonged electroretinal response suppression"" EXACT []","NA"
"1427","DOID:0050336","hypophosphatemia","NA","NA"
"1430","DOID:0050337","obsolete Burkholderia cepacia infectious disease","NA","NA"
"1433","DOID:0050338","primary bacterial infectious disease","NA","NA"
"1436","DOID:0050339","commensal bacterial infectious disease","NA","NA"
"1439","DOID:0050340","opportunistic bacterial infectious disease","NA","NA"
"1442","DOID:0050341","obsolete opportunistic Actinomycetales infectious disease","NA","NA"
"1445","DOID:0050342","obsolete commensal Actinomycetales infectious disease","NA","NA"
"1448","DOID:0050343","obsolete Gardnerella vaginalis vaginosis","NA","NA"
"1451","DOID:0050344","obsolete commensal Bifidobacteriaceae infectious disease","NA","NA"
"1454","DOID:0050345","obsolete primary Thermomonosporaceae infectious disease","NA","NA"
"1457","DOID:0050346","obsolete primary Corynebacteriaceae infectious disease","NA","NA"
"1460","DOID:0050347","obsolete primary Mycobacteriaceae infectious disease","NA","NA"
"1463","DOID:0050348","obsolete primary Streptomycetaceae infectious disease","NA","NA"
"1466","DOID:0050349","obsolete opportunistic Nocardiaceae infectious disease","NA","NA"
"1469","DOID:0050350","obsolete primary Clostridiaceae infectious disease","NA","NA"
"1472","DOID:0050351","obsolete primary Clostridium infectious disease","NA","NA"
"1475","DOID:0050352","foodborne botulism","NA","NA"
"1478","DOID:0050353","wound botulism","NA","NA"
"1481","DOID:0050354","infant botulism","NA","NA"
"1484","DOID:0050355","obsolete opportunistic Burkholderiaceae infectious disease","NA","NA"
"1487","DOID:0050357","obsolete Burkholderia cenocepacia infectious disease","NA","NA"
"1490","DOID:0050358","obsolete commensal Chlamydiaceae infectious disease","NA","NA"
"1493","DOID:0050359","obsolete Bilophila wadsworthia necrotizing fasciitis","NA","NA"
"1496","DOID:0050360","obsolete commensal Enterobacteriaceae infectious disease","NA","NA"
"1499","DOID:0050361","obsolete opportunistic Enterobacteriaceae infectious disease","NA","NA"
"1502","DOID:0050362","obsolete Elizabethkingia meningoseptica infectious disease","NA","NA"
"1505","DOID:0050363","obsolete Capnocytophaga canimorsus infectious disease","NA","NA"
"1508","DOID:0050364","obsolete opportunistic Flavobacteriaceae infectious disease","NA","NA"
"1511","DOID:0050365","obsolete Chryseobacterium indologenes infectious disease","NA","NA"
"1514","DOID:0050366","obsolete Empedobacter brevis endophthalmitis","NA","NA"
"1517","DOID:0050367","obsolete Myroides odoratus necrotizing fasciitis","NA","NA"
"1520","DOID:0050368","obsolete commensal Fusobacteriaceae infectious disease","NA","NA"
"1523","DOID:0050369","obsolete primary Mycoplasmataceae infectious disease","NA","NA"
"1526","DOID:0050370","obsolete commensal Neisseriaceae infectious disease","NA","NA"
"1529","DOID:0050371","obsolete commensal Pasteurellaceae infectious disease","NA","NA"
"1532","DOID:0050372","obsolete commensal Haemophilus infectious disease","NA","NA"
"1535","DOID:0050373","obsolete Leptospiraceae infectious disease","NA","NA"
"1538","DOID:0050374","obsolete Spirochaetaceae infectious disease","NA","NA"
"1541","DOID:0050375","obsolete primary Spirillaceae infectious disease","NA","NA"
"1544","DOID:0050376","obsolete anaplasmosis","NA","NA"
"1547","DOID:0050377","obsolete Burkholderia cepacia complex infectious disease","NA","DOID:0050356"
"1551","DOID:0050378","obsolete opportunistic Campylobacteraceae infectious disease","NA","NA"
"1554","DOID:0050379","obsolete Campylobacter fetus infectious disease","NA","NA"
"1557","DOID:0050380","obsolete Campylobacter coli infectious disease","NA","NA"
"1560","DOID:0050381","obsolete Chlamydia trachomatis epididymitis","NA","NA"
"1563","DOID:0050382","glandular tularemia","NA","NA"
"1566","DOID:0050383","typhoidal tularemia","NA","NA"
"1569","DOID:0050384","obsolete commensal Helicobacteraceae infectious disease","NA","NA"
"1572","DOID:0050385","obsolete commensal Helicobacter infectious disease","NA","NA"
"1575","DOID:0050386","obsolete Acinetobacter baumannii pneumonia","NA","NA"
"1578","DOID:0050387","nonpapillary renal cell carcinoma","NA","NA"
"1581","DOID:0050388","obsolete Bacteroides fragilis peritonitis","NA","NA"
"1584","DOID:0050389","obsolete Capnocytophaga canimorsus meningitis","NA","NA"
"1587","DOID:0050390","obsolete Capnocytophaga canimorsus endocarditis","NA","NA"
"1590","DOID:0050391","obsolete Elizabethkingia meningoseptica meningitis","NA","NA"
"1593","DOID:0050392","obsolete streptococcal necrotizing fasciitis","NA","NA"
"1596","DOID:0050393","obsolete Chryseobacterium indologenes pneumonia","NA","NA"
"1599","DOID:0050394","obsolete nocardial pneumonia","NA","NA"
"1602","DOID:0050395","obsolete nocardial cellulitis","NA","NA"
"1605","DOID:0050396","obsolete nocardial keratitis","NA","NA"
"1608","DOID:0050397","obsolete cerebral Bilophila wadsworthia infectious disease","NA","NA"
"1611","DOID:0050398","Carrion's disease","""Oroya fever"" EXACT []","NA"
"1616","DOID:0050399","obsolete Bordetella pertussis whooping cough","NA","NA"
"1619","DOID:0050400","obsolete Pseudomonas urinary tract infectious disease","NA","NA"
"1622","DOID:0050401","obsolete Pseudomonas endocarditis","NA","NA"
"1625","DOID:0050402","obsolete Pseudomonas keratitis","NA","NA"
"1628","DOID:0050403","obsolete commensal Mycoplasmatales infectious disease","NA","NA"
"1631","DOID:0050404","obsolete commensal Mycoplasmataceae infectious disease","NA","NA"
"1634","DOID:0050405","obsolete Mycoplasma genitalium urethritis","NA","NA"
"1637","DOID:0050406","obsolete Yersinia pseudotuberculosis mesenteric lymphadenitis","NA","NA"
"1640","DOID:0050407","obsolete commensal Mycoplasma infectious disease","NA","NA"
"1643","DOID:0050408","obsolete Staphylococcus aureus ecthyma","NA","NA"
"1646","DOID:0050409","obsolete Streptococcus pyogenes ecthyma","NA","NA"
"1649","DOID:0050410","obsolete streptococcal erysipelas","NA","NA"
"1652","DOID:0050411","obsolete Staphylococcus aureus erysipelas","NA","NA"
"1655","DOID:0050412","obsolete Streptococcus impetigo","NA","NA"
"1658","DOID:0050413","obsolete Staphylococcus aureus impetigo","NA","NA"
"1661","DOID:0050414","obsolete Streptococcus lymphangitis","NA","NA"
"1664","DOID:0050415","obsolete Staphylococcus aureus lymphangitis","NA","NA"
"1667","DOID:0050416","obsolete Streptococcus agalactiae meningitis","NA","NA"
"1670","DOID:0050417","obsolete Streptococcus equisimilis meningitis","""Streptococcus dysgalactiae subsp. equisimilis meningitis"" EXACT []","NA"
"1674","DOID:0050418","obsolete Streptococcus zooepidemicus meningitis","""Streptococcus equi subsp. zooepidemicus meningitis"" EXACT []","NA"
"1678","DOID:0050419","complement factor I deficiency","""COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY"" EXACT []","NA"
"1683","DOID:0050420","obsolete primary Streptococcaceae infectious disease","NA","NA"
"1686","DOID:0050421","obsolete primary streptococcal infectious disease","NA","NA"
"1689","DOID:0050422","obsolete Yersinia pseudotuberculosis gastroenteritis","NA","NA"
"1692","DOID:0050423","obsolete enteroaggregative Escherichia coli infectious disease","""enteroaggregative E.coli infection"" EXACT []","NA"
"1696","DOID:0050424","familial adenomatous polyposis","""adenomatous polyposis of the colon"" EXACT []","NA"
"1700","DOID:0050425","restless legs syndrome","""Wittmaack-Ekbom syndrome"" EXACT []","NA"
"1706","DOID:0050426","Stevens-Johnson syndrome","NA","NA"
"1709","DOID:0050427","xeroderma pigmentosum","NA","NA"
"1712","DOID:0050428","nonepidermolytic palmoplantar keratoderma","""Unna-Thost Syndrome"" EXACT []","NA"
"1719","DOID:0050429","Hailey-Hailey disease","""Pemphigus, Benign Familial"" EXACT []","NA"
"1724","DOID:0050430","multiple endocrine neoplasia type 2A","""Sipple syndrome"" EXACT []","NA"
"1730","DOID:0050431","arrhythmogenic right ventricular cardiomyopathy","""ARVD"" EXACT []","NA"
"1738","DOID:0050432","Asperger syndrome","NA","NA"
"1741","DOID:0050433","fatal familial insomnia","NA","NA"
"1744","DOID:0050434","Andersen-Tawil syndrome","""Potassium-Sensitive Cardiodysrhythmic Type"" EXACT []","NA"
"1752","DOID:0050436","mulibrey nanism","""PERICARDIAL CONSTRICTION AND GROWTH FAILURE"" EXACT []","NA"
"1760","DOID:0050437","Danon disease","""PSEUDOGLYCOGENOSIS II"" EXACT []","NA"
"1765","DOID:0050438","Frasier syndrome","NA","NA"
"1768","DOID:0050439","Usher syndrome","NA","NA"
"1771","DOID:0050440","familial partial lipodystrophy","""Koberling-Dunnigan Syndrome"" EXACT []","NA"
"1776","DOID:0050441","mucosulfatidosis","""Sulfatidosis, Juvenile, Austin Type"" EXACT []","NA"
"1781","DOID:0050444","infantile Refsum disease","""infantile phytanic acid storage disease"" EXACT []","NA"
"1785","DOID:0050445","X-linked dominant hypophosphatemic rickets","""X-linked hypophosphatemia"" EXACT []","NA"
"1792","DOID:0050448","hereditary mucosal leukokeratosis","""white sponge nevus of Cannon"" EXACT []","NA"
"1797","DOID:0050449","pachyonychia congenita","""PACHYONYCHIA CONGENITA, JADASSOHN-LEWANDOWSKY TYPE"" EXACT []","NA"
"1804","DOID:0050450","Gitelman syndrome","""HYPOMAGNESEMIA-HYPOKALEMIA, PRIMARY RENOTUBULAR, WITH HYPOCALCIURIA"" EXACT []","NA"
"1808","DOID:0050451","Brugada syndrome","""SUNDS"" EXACT []","NA"
"1817","DOID:0050452","mevalonic aciduria","""Mevalonate Kinase Deficiency"" EXACT []","NA"
"1821","DOID:0050453","lissencephaly","NA","NA"
"1824","DOID:0050454","periventricular nodular heterotopia","""periventricular heterotopia"" EXACT []","NA"
"1828","DOID:0050455","obsolete arachnodactyly","NA","NA"
"1831","DOID:0050456","Buruli ulcer disease","""Searle's ulcer"" EXACT []","NA"
"1839","DOID:0050457","Sertoli cell-only syndrome","""Germinal Cell Aplasia"" EXACT []","NA"
"1844","DOID:0050458","juvenile myelomonocytic leukemia","NA","NA"
"1847","DOID:0050459","hyperphosphatemia","NA","NA"
"1850","DOID:0050460","Wolf-Hirschhorn syndrome","""Pitt-Rogers-Danks Syndrome"" EXACT []","DOID:6684"
"1858","DOID:0050461","aspartylglucosaminuria","""glycosylasparaginase deficiency"" EXACT []","NA"
"1864","DOID:0050462","Antley-Bixler syndrome","""trapezoidocephaly-synostosis syndrome"" EXACT []","NA"
"1868","DOID:0050463","campomelic dysplasia","""Acampomelic Campomelic Dysplasia"" EXACT []","NA"
"1872","DOID:0050464","Farber lipogranulomatosis","""N-laurylsphingosine deacylase deficiency"" EXACT []","NA"
"1878","DOID:0050465","Muir-Torre syndrome","NA","NA"
"1881","DOID:0050466","Loeys-Dietz syndrome","NA","NA"
"1884","DOID:0050467","erythrokeratodermia variabilis","""Greither Disease"" EXACT []","NA"
"1889","DOID:0050468","yellow nail syndrome","NA","NA"
"1892","DOID:0050469","Costello syndrome","""FCS SYNDROME"" EXACT []","NA"
"1897","DOID:0050470","Donohue syndrome","""Leprechaunism"" EXACT []","NA"
"1901","DOID:0050471","Carney complex","""NAME Syndrome"" EXACT []","NA"
"1910","DOID:0050472","monilethrix","NA","NA"
"1913","DOID:0050473","Alstrom syndrome","NA","NA"
"1916","DOID:0050474","Netherton syndrome","NA","NA"
"1919","DOID:0050475","Weill-Marchesani syndrome","""Spherophakia Brachymorphia Syndrome"" EXACT []","NA"
"1927","DOID:0050476","Barth syndrome","""MGA type II"" EXACT []","NA"
"1934","DOID:0050477","Liddle syndrome","""Pseudoaldosteronism"" EXACT []","NA"
"1939","DOID:0050478","obsolete primary Escherichia coli infectious disease","NA","NA"
"1942","DOID:0050479","obsolete commensal Klebsiella infectious disease","""Klebsiella infection"" EXACT []","NA"
"1946","DOID:0050480","epidemic typhus","""sylvatic typhus"" EXACT []","NA"
"1950","DOID:0050481","endemic typhus","""Urban Typhus of Malaya"" EXACT []","DOID:0050058"
"1967","DOID:0050482","obsolete lymphangitis-associated rickettsiosis","NA","NA"
"1970","DOID:0050483","obsolete Rickettsia aeschlimannii spotted fever","NA","NA"
"1973","DOID:0050484","aneruptive fever","""Rickettsia helvetica spotted fever"" EXACT []","NA"
"1977","DOID:0050485","sennetsu fever","""Sennetsu ehrlichiosis"" EXACT []","NA"
"1981","DOID:0050486","exanthem","""Rash"" EXACT []","NA"
"1986","DOID:0050487","bacterial exanthem","NA","NA"
"1989","DOID:0050488","early congenital syphilis","NA","NA"
"1992","DOID:0050489","multinodular goiter","NA","NA"
"1995","DOID:0050490","parenchymatous neurosyphilis","NA","NA"
"1998","DOID:0050491","meningovascular neurosyphilis","NA","NA"
"2001","DOID:0050492","obsolete tertiary syphilitic encephalitis","NA","NA"
"2004","DOID:0050493","obsolete tertiary syphilitic meningitis","NA","NA"
"2007","DOID:0050494","obsolete Papillomaviridae infectious disease","NA","NA"
"2010","DOID:0050495","exanthema subitum","""Sixth Disease"" EXACT []","NA"
"2015","DOID:0050496","obsolete Banna virus encephalitis","NA","NA"
"2018","DOID:0050497","obsolete Anelloviridae infectious disease","NA","NA"
"2021","DOID:0050498","obsolete dsDNA virus infectious disease","""dsDNA virus infection"" EXACT []","NA"
"2026","DOID:0050499","obsolete ssDNA virus infectious disease","""ssDNA virus infection"" EXACT []","NA"
"2031","DOID:0050500","obsolete dsDNA-RT virus infectious disease","""dsDNA-RT virus infection"" EXACT []","NA"
"2037","DOID:0050501","obsolete dsRNA virus infectious disease","""dsRNA virus infection"" EXACT []","NA"
"2042","DOID:0050502","obsolete (+)ssRNA virus infectious disease","""positive-sense ssRNA virus infectious disease"" EXACT []","NA"
"2050","DOID:0050503","obsolete (-)ssRNA virus infectious disease","""negative-sense ssRNA virus infectious disease"" EXACT []","NA"
"2058","DOID:0050504","obsolete ssRNA-RT virus infectious disease","""ssRNA-RT virus infection"" EXACT []","NA"
"2063","DOID:0050505","obsolete human papilloma virus related anal squamous cell carcinoma","NA","NA"
"2066","DOID:0050506","obsolete human papilloma virus related vaginal squamous cell carcinoma","NA","NA"
"2069","DOID:0050507","obsolete AIDS-related cryptosporidiosis","NA","NA"
"2072","DOID:0050508","variola major","NA","NA"
"2075","DOID:0050509","obsolete AIDS-related toxoplasmosis","NA","NA"
"2078","DOID:0050510","obsolete AIDS-related cystoisosporiasis","""AIDS-related isosporiasis"" EXACT []","NA"
"2082","DOID:0050511","obsolete Human torovirus gastroenteritis","NA","NA"
"2085","DOID:0050512","obsolete Saffold virus gastroenteritis","NA","NA"
"2088","DOID:0050513","spinal polio","NA","NA"
"2091","DOID:0050514","bulbospinal polio","NA","NA"
"2094","DOID:0050515","paralytic poliomyelitis","NA","NA"
"2097","DOID:0050516","O'nyong'nyong fever","NA","NA"
"2100","DOID:0050517","Barmah Forest virus disease","NA","NA"
"2103","DOID:0050518","Ross River fever","""Ross River virus disease"" EXACT []","NA"
